Episode: 1
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.024, 0.366];[0.023, 0.029];1;100.000;5.608;16.667;3;3;1
2;[0.561, 1.734];[-0.183, 0.011];1;5.714;2.887;5.669;7;7;1
.
Episode: 2
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.024, 0.366];[0.023, 0.029];1;100.000;5.608;16.667;3;3;1
2;[0.561, 1.734];[-0.183, 0.011];1;5.714;2.887;5.669;7;7;1
3;[-0.032];[0.016];0;20.000;8.200;30.000;1;1;1
4;[-0.228];[0.016];0;20.000;8.200;30.000;1;1;1
5;[-0.423];[0.022];0;20.000;8.200;30.000;1;1;1
6;[-0.618];[0.033];0;0.000;8.200;50.000;1;1;1
7;[-0.814];[0.051];0;0.000;8.200;50.000;1;1;1
8;[-1.010];[0.074];0;0.000;8.200;50.000;1;1;1
9;[-1.206];[0.104];0;0.000;8.200;50.000;1;1;1
10;[-1.402];[0.140];0;0.000;8.200;50.000;1;1;1
11;[-1.598];[0.183];0;0.000;8.200;50.000;1;1;1
.
Episode: 3
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.840, 0.525];[0.004, 0.101];1;99.998;1.000;0.003;28;87;1
2;[-0.256, 0.706];[-0.034, -0.003];0;67.881;1.006;36.839;10;33;1
3;[0.686, 0.719];[0.013, 0.085];0;18.333;1.043;0.091;24;24;1
4;[0.532, 0.718];[-0.002, 0.013];0;73.280;1.053;38.675;4;23;1
5;[-1.598, 0.526];[-0.003, 0.183];0;12.222;1.162;0.415;18;18;1
6;[-0.463, 0.492];[-0.002, 0.004];1;100.000;1.966;3.277;5;10;1
7;[0.561, 1.734];[-0.183, 0.011];1;5.714;2.887;5.669;7;7;1
8;[0.497, 0.511];[-0.002, 0.004];1;20.000;4.686;7.500;4;4;1
9;[-0.443, -0.268];[-0.012, -0.008];0;20.000;5.608;10.000;3;3;1
10;[-0.451];[-0.019];0;100.000;8.200;50.000;1;1;1
11;[0.685];[-0.002];0;100.000;8.200;50.000;1;1;1
12;[0.489, 0.492];[-0.006, -0.003];1;20.000;4.686;7.500;4;4;1
13;[0.684];[0.027];0;20.000;8.200;30.000;1;1;1
14;[0.684];[0.026];0;20.000;8.200;30.000;1;1;1
15;[0.683];[0.026];0;20.000;8.200;30.000;1;1;1
16;[0.682];[0.027];0;20.000;8.200;30.000;1;1;1
.
Episode: 4
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 0.706];[-0.034, -0.003];0;89.820;1.000;17.816;11;64;1
2;[0.532, 0.718];[-0.002, 0.013];0;34.675;1.000;32.436;5;67;1
3;[0.597, 0.719];[0.013, 0.085];0;18.750;1.000;0.000;48;48;1
4;[-0.463, 0.492];[-0.002, 0.004];1;98.895;1.001;4.474;7;40;1
5;[-1.598, 0.526];[-0.003, 0.183];0;12.632;1.130;0.329;19;19;1
6;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
7;[0.561, 1.734];[-0.183, 0.011];1;5.714;2.887;5.669;7;7;1
8;[-0.544, -0.268];[-0.012, -0.005];0;20.000;3.949;6.000;5;5;1
9;[0.497, 0.511];[-0.002, 0.004];1;20.000;4.686;7.500;4;4;1
10;[-0.451, -0.349];[-0.021, -0.019];0;100.000;6.760;25.000;2;2;1
11;[0.600];[-0.003];0;100.000;8.200;50.000;1;1;1
12;[0.015];[-0.003];1;100.000;8.200;50.000;1;1;1
13;[-0.840, 0.525];[0.004, 0.101];1;99.997;1.000;0.003;29;151;1
.
Episode: 5
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.007, 0.541];[0.004, 0.109];1;96.287;1.000;7.618;36;223;1
2;[-0.256, 1.097];[-0.077, -0.003];0;99.918;1.000;0.246;19;127;1
3;[0.532, 0.732];[-0.002, 0.085];0;48.956;1.000;25.522;55;119;1
4;[-1.203, 0.492];[-0.002, 0.004];1;99.604;1.000;0.397;8;45;1
5;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
6;[-0.813, -0.349];[-0.072, -0.015];0;72.886;1.618;28.634;6;12;1
7;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
8;[0.545, 1.734];[-0.183, 0.014];1;8.889;2.208;3.368;9;9;1
9;[-0.544, -0.268];[-0.013, -0.005];0;20.000;3.359;4.800;6;6;1
10;[0.497, 0.536];[-0.002, 0.004];1;20.000;3.949;6.000;5;5;1
11;[0.735, 1.102];[0.025, 0.061];0;20.000;3.949;6.000;5;5;1
12;[0.600];[-0.003];0;100.000;8.200;50.000;1;1;1
13;[-1.008];[-0.026];0;20.000;8.200;30.000;1;1;1
14;[0.716];[0.097];0;0.000;8.200;50.000;1;1;1
15;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
16;[-0.265];[-0.023];0;100.000;8.200;50.000;1;1;1
17;[0.734, 1.292];[-0.002, 0.024];0;84.000;1.966;19.277;6;10;1
18;[0.706, 1.098];[0.026, 0.079];1;95.953;1.253;0.789;10;16;1
19;[-0.825, 0.015];[-0.011, -0.003];1;100.000;3.359;8.000;4;6;1
20;[0.705];[0.021];1;100.000;8.200;50.000;1;1;1
.
Episode: 6
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.007, 0.541];[0.004, 0.109];1;94.431;1.000;14.953;36;292;1
2;[-0.256, 1.097];[-0.077, -0.003];0;98.362;1.000;4.565;19;193;1
3;[0.532, 0.732];[-0.002, 0.085];0;93.149;0.800;18.840;55;128;1
4;[-1.203, 0.492];[-0.002, 0.004];1;62.904;1.000;31.848;8;51;1
5;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
6;[0.630, 1.098];[0.021, 0.079];1;97.510;1.104;0.334;13;20;1
7;[-0.343, -0.265];[-0.052, -0.017];0;100.000;1.083;0.281;6;21;1
8;[-0.825, 0.015];[-0.012, -0.003];1;71.200;1.162;26.150;5;18;1
9;[0.600, 1.292];[-0.003, 0.024];0;94.383;1.317;2.327;7;15;1
10;[-0.813, -0.349];[-0.072, -0.015];0;62.309;1.495;33.485;6;13;1
11;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
12;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
13;[-0.544, -0.268];[-0.013, -0.005];0;20.000;3.359;4.800;6;6;1
14;[0.497, 0.536];[-0.002, 0.004];1;20.000;3.949;6.000;5;5;1
15;[0.735, 1.102];[0.025, 0.061];0;20.000;3.949;6.000;5;5;1
16;[-1.008];[-0.026];0;20.000;8.200;30.000;1;1;1
17;[0.716];[0.097];0;0.000;8.200;50.000;1;1;1
18;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
19;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
20;[-0.524];[-0.014];0;100.000;8.200;50.000;1;1;1
21;[-0.537, -0.525];[-0.044, -0.019];1;20.000;3.359;4.800;6;6;1
22;[-0.523];[-0.037];1;20.000;8.200;30.000;1;1;1
23;[-0.523];[-0.018];1;20.000;8.200;30.000;1;1;1
.
Episode: 7
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.127, 0.541];[0.004, 0.139];1;80.823;1.000;3.089;41;367;1
2;[0.532, 0.732];[-0.002, 0.085];0;66.721;0.603;37.732;55;134;1
3;[-1.203, 0.492];[-0.002, 0.004];1;83.722;1.000;31.180;8;57;1
4;[-0.813, -0.265];[-0.072, -0.014];0;99.223;1.000;1.554;16;54;1
5;[0.600, 1.292];[-0.003, 0.024];0;86.446;1.042;17.632;7;24;1
6;[-0.825, 0.015];[-0.012, -0.003];1;90.563;1.053;20.365;5;23;1
7;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
8;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
9;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
10;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
11;[-0.932, -0.268];[-0.013, -0.005];0;20.000;2.887;3.840;7;7;1
12;[0.735, 1.188];[0.025, 0.061];0;20.000;3.359;4.800;6;6;1
13;[0.497, 0.536];[-0.002, 0.004];1;20.000;3.949;6.000;5;5;1
14;[0.608, 0.716];[0.092, 0.128];0;0.000;4.686;12.500;4;4;1
15;[-1.008];[-0.026];0;20.000;8.200;30.000;1;1;1
16;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
17;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
18;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
19;[1.377];[0.003];0;100.000;8.200;50.000;1;1;1
20;[-0.256, 1.182];[-0.084, -0.003];0;81.662;1.000;0.416;23;250;1
21;[0.600, 1.183];[0.021, 0.079];1;96.987;1.007;0.023;19;32;1
22;[0.600];[0.098];0;0.000;8.200;50.000;1;1;1
23;[0.597];[0.092];0;0.000;8.200;50.000;1;1;1
24;[0.594];[0.088];0;0.000;8.200;50.000;1;1;1
25;[0.592];[0.086];0;0.000;8.200;50.000;1;1;1
26;[0.590];[0.087];0;0.000;8.200;50.000;1;1;1
.
Episode: 8
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.185, 0.541];[0.004, 0.148];1;99.350;1.000;2.587;46;424;1
2;[-0.256, 1.182];[-0.084, -0.003];0;86.169;1.000;25.090;23;297;1
3;[-1.203, 0.492];[-0.002, 0.004];1;94.666;1.000;16.885;8;62;1
4;[-0.813, -0.265];[-0.072, -0.014];0;99.745;1.000;0.828;16;59;1
5;[-0.825, 0.015];[-0.012, -0.003];1;93.960;1.034;16.054;5;25;1
6;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
7;[0.543, 0.724];[0.086, 0.139];0;0.000;1.317;1.074;15;15;1
8;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
9;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
10;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
11;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
12;[-0.990, -0.268];[-0.013, -0.005];0;20.000;2.510;3.072;8;8;1
13;[0.497, 0.536];[-0.002, 0.004];1;67.232;2.208;35.226;5;9;1
14;[1.303, 1.377];[0.003, 0.023];0;100.000;3.949;10.000;5;5;1
15;[-1.008];[-0.026];0;20.000;8.200;30.000;1;1;1
16;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
17;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
18;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
19;[0.710];[-0.003];0;100.000;8.200;50.000;1;1;1
20;[0.515];[-0.002];1;100.000;8.200;50.000;1;1;1
21;[0.532, 1.292];[-0.003, 0.085];0;33.761;1.000;17.120;62;198;1
22;[0.565, 1.183];[0.017, 0.084];1;99.571;1.000;0.322;28;66;1
.
Episode: 9
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.369, 0.541];[-0.002, 0.163];1;88.290;1.000;10.614;65;555;1
2;[-0.256, 1.182];[-0.103, -0.003];0;85.979;1.000;26.062;27;361;1
3;[0.532, 1.292];[-0.003, 0.085];0;78.295;1.000;32.742;62;203;1
4;[0.546, 1.302];[0.017, 0.132];1;91.553;1.000;6.400;35;106;1
5;[-0.979, -0.265];[-0.097, -0.014];0;81.887;1.000;18.657;19;70;1
6;[-0.825, 0.015];[-0.013, -0.003];1;96.779;1.017;0.860;6;28;1
7;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
8;[0.543, 0.754];[0.086, 0.151];0;0.000;1.130;0.440;19;19;1
9;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
10;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
11;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
12;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
13;[-0.990, -0.268];[-0.013, -0.005];0;20.000;2.510;3.072;8;8;1
14;[1.308, 1.328];[0.032, 0.067];0;20.000;3.949;6.000;5;5;1
15;[-1.174, -1.008];[-0.026, -0.022];0;20.000;6.760;15.000;2;2;1
16;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
17;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
18;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
19;[0.710];[-0.003];0;100.000;8.200;50.000;1;1;1
20;[1.301, 1.497];[-0.002, 0.023];0;100.000;1.773;2.621;8;11;1
21;[1.494];[0.029];0;20.000;8.200;30.000;1;1;1
22;[1.298];[0.008];0;100.000;8.200;50.000;1;1;1
.
Episode: 10
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.182];[-0.103, -0.003];0;83.361;1.000;9.951;27;370;1
2;[0.532, 1.292];[-0.003, 0.085];0;78.295;1.000;32.742;62;203;1
3;[0.546, 1.302];[0.017, 0.132];1;78.594;1.000;20.096;35;108;1
4;[-0.825, 0.015];[-0.013, -0.003];1;97.423;1.014;1.332;6;29;1
5;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
6;[0.543, 0.754];[0.086, 0.151];0;0.000;1.130;0.440;19;19;1
7;[1.298, 1.497];[-0.002, 0.023];0;100.000;1.618;2.097;9;12;1
8;[0.039, 0.492];[-0.024, -0.003];1;28.192;1.966;16.302;5;10;1
9;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
10;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
11;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
12;[1.308, 1.494];[0.029, 0.067];0;20.000;3.359;4.800;6;6;1
13;[-1.174, -1.008];[-0.026, -0.022];0;20.000;6.760;15.000;2;2;1
14;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
15;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
16;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
17;[0.710];[-0.003];0;100.000;8.200;50.000;1;1;1
18;[-0.987, -0.265];[-0.097, -0.014];0;88.889;1.000;0.000;20;76;1
19;[-1.182, -0.268];[-0.013, -0.005];0;20.000;2.208;2.458;9;9;1
20;[-1.377, 0.541];[-0.002, 0.163];1;83.977;1.000;0.000;66;567;1
